,Group,Title,Member,keyword,thumbnail
29,FIFTY FIFTY,Lovin' Me,하나,"['노래', '큐피드', '앨범', '음악', '멤버']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%92%E1%85%A1%E1%84%82%E1%85%A1.jpeg?raw=true
30,FIFTY FIFTY,SOS,문샤넬,"['피프티', '응원', '데뷔', '노래', '화이팅']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%86%E1%85%AE%E1%86%AB%E1%84%89%E1%85%A3%E1%84%82%E1%85%A6%E1%86%AF.jpeg?raw=true
31,FIFTY FIFTY,SOS,새나,"['계약해지', '코로나', '키트', '사기', '오기재']",
32,FIFTY FIFTY,SOS,시오,"['삼촌', '오구', '노래', '음색', '목소리']",
33,FIFTY FIFTY,SOS,아란,"['음색', '피프티', '목소리', '큐피드', '노래']",
34,FIFTY FIFTY,SOS,아테나,"['피프티', '음색', '노래', '화이팅', '사랑해']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%8B%E1%85%A1%E1%84%90%E1%85%A6%E1%84%82%E1%85%A1.jpeg?raw=true
35,FIFTY FIFTY,SOS,예원,"['피프티', '노래', '화이팅', '응원', '멤버']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%8B%E1%85%A8%E1%84%8B%E1%85%AF%E1%86%AB.jpeg?raw=true
36,FIFTY FIFTY,SOS,키나,"['노래', '피프티', '멤버', '응원', '화이팅']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%8F%E1%85%B5%E1%84%82%E1%85%A1.jpeg?raw=true
37,FIFTY FIFTY,SOS,하나,"['노래', '피프티', '멤버', '하나요', '대표']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%92%E1%85%A1%E1%84%82%E1%85%A1.jpeg?raw=true
38,FIFTY FIFTY,Starry Night,문샤넬,"['피프티', '노래', '응원', '대표', '화이팅']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%86%E1%85%AE%E1%86%AB%E1%84%89%E1%85%A3%E1%84%82%E1%85%A6%E1%86%AF.jpeg?raw=true
39,FIFTY FIFTY,Starry Night,새나,"['무시', '냄새', '보이콧', '단도', '언급']",
40,FIFTY FIFTY,Starry Night,시오,"['노래', '삼촌', '음색', '빌보드', '라이브']",
41,FIFTY FIFTY,Starry Night,아란,"['음색', '피프티', '노래', '목소리', '공백']",
