,Group,Title,Member,keyword,thumbnail
139,IVE,Accendio,안유진,"['멤버', '발차기', '연기', '하루', '표정']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%8B%E1%85%B2%E1%84%8C%E1%85%B5%E1%86%AB.jpeg?raw=true
140,IVE,Accendio,이서,"['아이브', '앞머리', '파트', '아센디오', '노래']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%8B%E1%85%B5%E1%84%89%E1%85%A5.jpeg?raw=true
141,IVE,Accendio,장원영,"['워녕워뇨', '아이브', '아센디오', '음색', '마법소녀']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%8C%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%8B%E1%85%A7%E1%86%BC.jpeg?raw=true
142,IVE,After LIKE,가을,"['파트', '선배', '노래', '아이브', '사랑해']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%80%E1%85%A1%E1%84%8B%E1%85%B3%E1%86%AF.jpeg?raw=true
143,IVE,After LIKE,레이,"['파트', '아이브', '노래', '사랑해', '도입']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5.jpeg?raw=true
144,IVE,After LIKE,리즈,"['주의', '파트', '사랑해', '아이브', '음색']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B3.jpeg?raw=true
145,IVE,After LIKE,안유진,"['댕댕', '사랑해', '아이브', '노래', '파트']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%8B%E1%85%B2%E1%84%8C%E1%85%B5%E1%86%AB.jpeg?raw=true
146,IVE,After LIKE,이서,"['사랑해', '아이브', '노래', '파트', '음색']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%8B%E1%85%B5%E1%84%89%E1%85%A5.jpeg?raw=true
147,IVE,After LIKE,장원영,"['주의', '사랑해', '아이브', '노래', '파트']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%8C%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%8B%E1%85%A7%E1%86%BC.jpeg?raw=true
148,IVE,All,가을,"['파트', '선배', '아이브', '노래', '사랑해']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%80%E1%85%A1%E1%84%8B%E1%85%B3%E1%86%AF.jpeg?raw=true
149,IVE,All,레이,"['아이브', '사랑해', '힙합', '파트', '머리']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5.jpeg?raw=true
150,IVE,All,리즈,"['파트', '노래', '아이브', '음색', '사랑해']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B3.jpeg?raw=true
151,IVE,All,안유진,"['아이브', '사랑해', '댕댕', '노래', '파트']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%8B%E1%85%B2%E1%84%8C%E1%85%B5%E1%86%AB.jpeg?raw=true
152,IVE,All,이서,"['아이브', '파트', '사랑해', '노래', '음색']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%8B%E1%85%B5%E1%84%89%E1%85%A5.jpeg?raw=true
153,IVE,All,장원영,"['사랑해', '아이브', '워녕적사', '노래', '파트']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%8C%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%8B%E1%85%A7%E1%86%BC.jpeg?raw=true
154,IVE,All Night (Feat. Saweetie),가을,"['양갈래', '아이브', '선배', '사랑해', '노래']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%80%E1%85%A1%E1%84%8B%E1%85%B3%E1%86%AF.jpeg?raw=true
155,IVE,All Night (Feat. Saweetie),레이,"['아이브', '사랑해', '노래', '언니', '멤버']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5.jpeg?raw=true
156,IVE,All Night (Feat. Saweetie),리즈,"['사랑해', '아이브', '노래', '최애', '화이팅']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B3.jpeg?raw=true
157,IVE,All Night (Feat. Saweetie),안유진,"['사랑해', '아이브', '언니', '응원', '파트']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%8B%E1%85%B2%E1%84%8C%E1%85%B5%E1%86%AB.jpeg?raw=true
158,IVE,All Night (Feat. Saweetie),이서,"['사랑해', '아이브', '노래', '언니', '화이팅']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%8B%E1%85%B5%E1%84%89%E1%85%A5.jpeg?raw=true
159,IVE,All Night (Feat. Saweetie),장원영,"['아이브', '사랑해', '센터', '얼굴', '노래']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%8C%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%8B%E1%85%A7%E1%86%BC.jpeg?raw=true
160,IVE,Baddie,가을,"['사랑해', '아이브', '선배', '노래', '파트']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%80%E1%85%A1%E1%84%8B%E1%85%B3%E1%86%AF.jpeg?raw=true
161,IVE,Baddie,레이,"['사랑해', '아이브', '양갈래', '댄스', '컨셉']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5.jpeg?raw=true
162,IVE,Baddie,리즈,"['노래', '사랑해', '파트', '아이브', '지원이']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B3.jpeg?raw=true
163,IVE,Baddie,안유진,"['사랑해', '단발', '아이브', '고양이', '머리']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%8B%E1%85%B2%E1%84%8C%E1%85%B5%E1%86%AB.jpeg?raw=true
164,IVE,Baddie,이서,"['사랑해', '아이브', '리본', '이현', '파트']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%8B%E1%85%B5%E1%84%89%E1%85%A5.jpeg?raw=true
165,IVE,Baddie,장원영,"['사랑해', '토끼', '아이브', '고양이', '모자']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%8C%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%8B%E1%85%A7%E1%86%BC.jpeg?raw=true
166,IVE,ELEVEN,가을,"['사랑해', '아이브', '파트', '화이팅', '최애']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%80%E1%85%A1%E1%84%8B%E1%85%B3%E1%86%AF.jpeg?raw=true
167,IVE,ELEVEN,레이,"['사랑해', '아이브', '응원', '매력', '화이팅']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%87%E1%85%B3_%E1%84%85%E1%85%A6%E1%84%8B%E1%85%B5.jpeg?raw=true
