group,title,member,keyword,thumbnail
tripleS,Cherry Talk,김채연,"['사랑해', '크아', '뮤비', '화이팅', '도입']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%B5%E1%86%B7%E1%84%8E%E1%85%A2%E1%84%8B%E1%85%A7%E1%86%AB.jpeg?raw=true
tripleS,Cherry Talk,니엔,"['유닛', '멘션', '뮤비', '감동', '체리']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%82%E1%85%B5%E1%84%8B%E1%85%A6%E1%86%AB.jpeg?raw=true
tripleS,Cherry Talk,린,"['보람', '뮤비', '크아', '활동', '노래']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%85%E1%85%B5%E1%86%AB.jpeg?raw=true
tripleS,Cherry Talk,박소현,"['고생', '크아', '노력', '사랑해', '소속사']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%87%E1%85%A1%E1%86%A8%E1%84%89%E1%85%A9%E1%84%92%E1%85%A7%E1%86%AB.jpeg?raw=true
tripleS,Cherry Talk,서다현,"['언니', '놀이', '동화', '벚꽃', '곽연']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%89%E1%85%A5%E1%84%83%E1%85%A1%E1%84%92%E1%85%A7%E1%86%AB.jpeg?raw=true
tripleS,Cherry Talk,윤서연,"['윤서', '크아', '체리', '동생', '데뷔']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8B%E1%85%B2%E1%86%AB%E1%84%89%E1%85%A5%E1%84%8B%E1%85%A7%E1%86%AB.jpeg?raw=true
tripleS,Cherry Talk,이지우,"['크아', '뮤비', '화이팅', '홧팅', '상큼']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8B%E1%85%B5%E1%84%8C%E1%85%B5%E1%84%8B%E1%85%AE.jpeg?raw=true
tripleS,Cherry Talk,정혜린,"['음원', '화이팅', '노력', '사랑해', '소속사']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8C%E1%85%A5%E1%86%BC%E1%84%92%E1%85%A8%E1%84%85%E1%85%B5%E1%86%AB.jpeg?raw=true
tripleS,Cherry Talk,지연,"['비주얼', '체리', '동생', '데뷔', '무예']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8C%E1%85%B5%E1%84%8B%E1%85%A7%E1%86%AB.jpeg?raw=true
tripleS,Cherry Talk,카에데,"['음방', '견제', '세력', '블록', '스케줄']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8F%E1%85%A1%E1%84%8B%E1%85%A6%E1%84%83%E1%85%A6.jpeg?raw=true
tripleS,Cherry Talk,코토네,"['크아', '유닛', '멘션', '감동', '뮤비']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8F%E1%85%A9%E1%84%90%E1%85%A9%E1%84%82%E1%85%A6.jpeg?raw=true
tripleS,Door,김유연,"['라씨', '다행']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%B5%E1%86%B7%E1%84%8B%E1%85%B2%E1%84%8B%E1%85%A7%E1%86%AB.jpeg?raw=true
tripleS,Door,김채연,"['노래', '데뷔', '어울림', '멤버', '머리']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%B5%E1%86%B7%E1%84%8E%E1%85%A2%E1%84%8B%E1%85%A7%E1%86%AB.jpeg?raw=true
tripleS,Door,김채원,"['음색', '멤버', '르세라핌']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%B5%E1%86%B7%E1%84%8E%E1%85%A2%E1%84%8B%E1%85%AF%E1%86%AB.jpeg?raw=true
tripleS,Door,니엔,"['민트', '드레스', '감성', '목소리', '발라드']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%82%E1%85%B5%E1%84%8B%E1%85%A6%E1%86%AB.jpeg?raw=true
tripleS,Door,린,"['고음', '드레스', '민트', '가게', '우산']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%85%E1%85%B5%E1%86%AB.jpeg?raw=true
tripleS,Door,서다현,"['비주얼', '우산', '노래', '고음', '보컬']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%89%E1%85%A5%E1%84%83%E1%85%A1%E1%84%92%E1%85%A7%E1%86%AB.jpeg?raw=true
