group,title,member,keyword,thumbnail
aespa,Supernova,지젤,"['시간', '에스파', '연기', '뮤비', '생일']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3%E1%84%91%E1%85%A1_%E1%84%8C%E1%85%B5%E1%84%8C%E1%85%A6%E1%86%AF.jpeg?raw=true
aespa,Supernova,카리나,"['에스파', '노래', '뮤비', '컨셉', '초신성']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3%E1%84%91%E1%85%A1_%E1%84%8F%E1%85%A1%E1%84%85%E1%85%B5%E1%84%82%E1%85%A1.jpeg?raw=true
aespa,Welcome To MY World (Feat. nævis),닝닝,"['오프닝', '목소리', '노래', '보컬', '콘서트']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3%E1%84%91%E1%85%A1_%E1%84%82%E1%85%B5%E1%86%BC%E1%84%82%E1%85%B5%E1%86%BC.jpeg?raw=true
aespa,Welcome To MY World (Feat. nævis),윈터,"['목소리', '사랑해', '에스파', '보컬', '기대']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3%E1%84%91%E1%85%A1_%E1%84%8B%E1%85%B1%E1%86%AB%E1%84%90%E1%85%A5.jpeg?raw=true
aespa,Welcome To MY World (Feat. nævis),지젤,"['수석', '샤이닝', '화장', '메이크업', '알러뷰']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3%E1%84%91%E1%85%A1_%E1%84%8C%E1%85%B5%E1%84%8C%E1%85%A6%E1%86%AF.jpeg?raw=true
aespa,Welcome To MY World (Feat. nævis),카리나,"['노래', '에스파', '사랑해', '금발', '신곡']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3%E1%84%91%E1%85%A1_%E1%84%8F%E1%85%A1%E1%84%85%E1%85%B5%E1%84%82%E1%85%A1.jpeg?raw=true
tripleS,All,공유빈,"['화이팅', '트리플에스', '노래', '왤케', '사랑해']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%A9%E1%86%BC%E1%84%8B%E1%85%B2%E1%84%87%E1%85%B5%E1%86%AB.jpeg?raw=true
tripleS,All,곽연지,"['데뷔', '노래', '에볼루션', '뮤비', '곽연']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%AA%E1%86%A8%E1%84%8B%E1%85%A7%E1%86%AB%E1%84%8C%E1%85%B5.jpeg?raw=true
tripleS,All,김나경,"['데뷔', '노래', '트리플에스', '파트', '화이팅']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%B5%E1%86%B7%E1%84%82%E1%85%A1%E1%84%80%E1%85%A7%E1%86%BC.jpeg?raw=true
tripleS,All,김수민,"['화이팅', '뮤비', '크아', '얼굴', '트리플에스']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%B5%E1%86%B7%E1%84%89%E1%85%AE%E1%84%86%E1%85%B5%E1%86%AB.jpeg?raw=true
tripleS,All,김유연,"['노래', '데뷔', '사랑해', '뮤비', '화이팅']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%B5%E1%86%B7%E1%84%8B%E1%85%B2%E1%84%8B%E1%85%A7%E1%86%AB.jpeg?raw=true
tripleS,All,김채연,"['사랑해', '화이팅', '노래', '파이팅', '데뷔']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%B5%E1%86%B7%E1%84%8E%E1%85%A2%E1%84%8B%E1%85%A7%E1%86%AB.jpeg?raw=true
tripleS,All,김채원,"['응원', '최애', '데뷔', '트리플', '르세라핌']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%80%E1%85%B5%E1%86%B7%E1%84%8E%E1%85%A2%E1%84%8B%E1%85%AF%E1%86%AB.jpeg?raw=true
tripleS,All,니엔,"['데뷔', '노래', '뮤비', '화이팅', '트리플에스']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%82%E1%85%B5%E1%84%8B%E1%85%A6%E1%86%AB.jpeg?raw=true
tripleS,All,린,"['노래', '뮤비', '트리플에스', '보람', '데뷔']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%85%E1%85%B5%E1%86%AB.jpeg?raw=true
tripleS,All,마유,"['데뷔', '에볼루션', '노래', '뮤비', '화이팅']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%86%E1%85%A1%E1%84%8B%E1%85%B2.jpeg?raw=true
